Nr.,Zeichen (Varianten),Pīnyīn,Bedeutung und Anmerkungen,Häufigkeit,Kurzzeichen,Beispiele
1,一,yī,eins,42,,七三不世
2,丨,gǔn,Vertikalstrich,21,,中
3,丶,zhǔ,Tropfstrich,10,,丸主
4,"丿 (乀, 乁)",piě,Schrägstrich,33,,久之乎
5,"乙 (乚, 乛)",yǐ,"gerundeter Vertikalstrich, Haken, der/die/das zweite",42,,九也
6,亅,jué,Vertikalstrich mit Haken,19,,了事
7,二,èr,zwei,29,,五井些亞
8,亠,tóu,Deckel (Kopf),38,,亡交京
9,人 (亻 links),rén,"Mensch, jeder, jemand, alle, Persönlichkeit, Charakter",794,,仁休位今
10,儿,ér,"Beine, Kind, Jugendlicher, Sohn",52,,兄元
11,入,rù,"eintreten, betreten, Einkommen, übereinstimmen mit",28,,入兩
12,八(丷),bā,"acht, teilen",44,,公六共兵
13,冂,jiōng,"umfassen, Wildnis, freies/offenes Land",50,,内再
14,冖,mì,bedecken,30,,冗冠
15,冫,bīng,Eis,115,,冬冶冷凍
16,几,jī,Tischchen,38,,凡
17,凵,qiǎn/kǎn,"Behälter, geöffneter Mund",23,,凶出函
18,"刀 (刁, 刂)",dāo,"Messer, Schwert, Hiebwaffe, Säbel",377,,刀分切初利刻則前班
19,力,lì,"Kraft, Stärke, Fähigkeit",163,,力加助勉
20,勹,bāo,"einwickeln, umarmen",64,,勾包
21,匕,bǐ,"Dolch, Löffel",19,,化北
22,匚,fāng,Kasten,64,,匣
23,匸,xǐ,"verstecken, runde Schachtel",17,,匹區
24,十,shí,"zehn, völlig, vollständig",55,,十午半博
25,卜,bǔ,Orakel,45,,占卦
26,卩 (卪),jié,"Siegel, (Bambusknoten)",40,,印危卵
27,厂,hǎn,Abhang,129,,厚原
28,厶,sī,privat,40,,去參
29,又,yòu,"wieder, noch, Hand",91,,友反取受
30,口,kǒu,"Mund, Öffnung, Eingang, Mündung",1.146,,口古可名君否呉告周味命和哲唐善器
31,囗,wéi,"Begrenzung, Umzäunung",118,,四回國圖
32,土,tǔ,"Erde, Boden, Land, unkultiviert",580,,土在地型城場壁壓
33,士,shì,"Gelehrter, Intellektueller, Junggeselle, Soldat",24,,士壹
34,夂,zhǐ,schlendern,11,,(夂)
35,夊,suī,überholen,23,,夏
36,夕,xī,"Abend, Sonnenuntergang",34,,夕外多夜
37,大 (夨),dà,"groß, riesig, gewaltig, Alter, sehr",132,,大天奈奧
38,女,nǚ,"Frau, weiblich",681,,女好妄妻姉始姓姫
39,"子 (孑, 孒, 孓)",zǐ,"Kind, Meister, Samen",83,,子孔字學
40,宀,mián,Dach,246,,守家寒實
41,寸,cùn,"Daumen, Zoll",40,,寸寺尊將
42,小,xiǎo,"klein, geringfügig, unbedeutend, jung",41,,小少
43,尢 (尣),wāng,"lahm, gebrochenes Bein",66,,就
44,尸,shī,"Leichnam, Leiche",148,,尺局
45,屮,chè,"Spross, Keim",38,,屯
46,山,shān,"Berg, Gebirge",636,,山岡岩島
47,"巛 (巜, 川)",chuān,"Strom, Fluss",26,,川州巡
48,工,gōng,Arbeit,17,,工左巫差
49,"己 (已, 巳)",jǐ,"selbst, persönlich, eigen",20,,己巳
50,巾,jīn,"Tuch, Schal",295,,市布帝常
51,干,gān,"trocken, Schild (Waffe)",9,,平年
52,幺,yāo,"jung, gering, klein",50,,幻幼
53,广,yǎn,Schrägdach,15,,序店府度座庭廣廳
54,廴,yín,"bewegen, marschieren",9,,延
55,"廾 (卄,廿)",gǒng (niàn),gefaltete Hände (zwanzig),50,,弁
56,弋,yì,"Jagdpfeil, Wurfspieß, Haken",15,,式弑
57,弓,gōng,Bogen,165,,弓引弟弱彌
58,彐 (彑),jì,"Schweinskopf, Schweinerüssel",25,,彖
59,彡,shān,"Bart, Haare",62,,形彦
60,彳,chì,"Schritt, Spazieren gehen",215,,役彼後得徳徼
61,心 (忄 links),xīn,"Herz, Gefühl",1.115,,必忙忌性悪情想
62,戈,gē,"Speer, Hellebarde, Hiebaxt",116,,成戦
63,"戶 (户, 戸)",hù,"Waffe, Tür, Haus, Familie",44,,戸戻所
64,"手 (.mw-parser-output .Hans{font-size:110%}才,扌 links)",shǒu,"Hand, in der Hand halten",1.203,,手打持掛挙
65,支,zhī,"Zweig, stützen, aufrichten, Abzweigung",26,,攱攲
66,攴 (攵),pū,"schlagen, Peitsche",296,,收敍數斅
67,文,wén,"Kultur, Schrift(zeichen), Sprache",26,,文斊
68,斗,dǒu,"Scheffel, Dou (Hohlmaß)",32,,料斡
69,斤,jīn,"Axt, Pfund",55,,斦斧新
70,方,fāng,"Himmelsrichtung, Viereck",92,,方放旅族
71,无 (旡),wú,"nicht, keiner, ohne",12,,无既旣
72,日,rì,"Sonne, Tag",453,,日白百明的映時晩
73,曰,yuē,"sagen, sprechen",37,,書最
74,月,yuè,"Mond, Monat",69,,有服青朝
75,木 (朩),mù,"Baum, Holz",1.369,,木杢板相根森楽機
76,欠,qiàn,"mangeln, gähnen",235,,欣欽欧欲歌
77,止,zhǐ,"anhalten, aufhören, stoppen",99,,正歩
78,歹 (歺),dǎi,"zersetzen, schlecht",231,,死列殕
79,殳,shū,"Hellebarde, Lanze",93,,役投殴殷
80,毋,wú,"Mutter, nicht",16,,毋母毎姆梅
81,比,bǐ,"vergleichen, sich messen mit",21,,皆批
82,毛,máo,"Haar, Borste",211,,毟毡毦毫毳耗
83,氏,shì,"Familie, Sippe",10,,氏民紙婚氓
84,气,qì,"Atem, Luft, Gas, Dampf",17,,気汽氧
85,"水 (氵 links, 氺)",shuǐ,"Wasser, Gewässer",1.595,,水永泳決治海演漢瀬
86,火 (灬 unten),huǒ,Feuer,639,,火灯無燃爆
87,爪 (爫 oben),zhǎo,"Klaue, Kralle",36,,爬爯
88,父,fù,Vater,10,,斧釜
89,爻,yáo,"mischen, durchkreuzen, knüpfen",16,,爼爽爾
90,爿,qiáng / pian,gespaltenes Holz (steht immer links),48,丬,牀奘牃
91,片,piàn,"gespaltenes Holz, Scheibe (immer links)",77,,版牌牒
92,牙,yá,Eckzahn,9,,㸧牚
93,牛 (牜 links),niú,Rind; 2. Erdzweig,233,,牟牧物特解
94,犬 (犭 links),quǎn,Hund,444,,犬犯狂狙狗献獣
95,玄,xuán,dunkel,6,,率玆
96,"玉 (玊, 王)",yù (wáng),Jade (König),473,,王玉主弄皇理差聖
97,瓜,guā,"Melone, Kürbis, Gurke",55,,呱瓞
98,瓦,wǎ,Ziegel,174,,瓧瓮甄
99,甘,gān,"süß, wohlschmeckend",22,,柑甜酣
100,生,shēng,"geboren werden, leben, erzeugen",22,,牲笙甥
101,用 (甩),yòng,"gebrauchen, benutzen, nötig haben",10,,佣甬甯
102,田 (由甲申甴电),tián,Reisfeld,192,,田町思留略番
103,疋,pǐ (shū),"Rolle Kleiderstoff, Stoffballen (Fuß)",15,,疏楚胥延旋
104,疒,chuáng,Krankheit,526,,病症痛癌癖
105,癶,bō,"gespreizte Beine, zwei Hände oberhalb",15,,発登
106,白,bái,weiß,109,,皃的皆皇
107,皮,pí,"Haut, Schale, Pelz",94,,披彼波
108,皿,mǐn,"Schüssel, Teller",129,,盂盉盍監蘯
109,目,mù,Auge,647,,目見具省眠眼観覧
110,矛,máo,"Hellebarde, Speer, Lanze",65,,茅矜
111,矢,shǐ,Pfeil,64,,医族矩
112,石,shí,Stein,499,,石岩砂破碑碧
113,示 (礻 links),shì,"zeigen, Vorfahren, verehren",213,,示礼社奈神祭視禁福
114,禸,róu,"Fußstapfen, Spur",12,,禹禺禽
115,禾,hé,Getreide,431,,利私季和科香秦穀
116,穴,xué,Höhle,298,,空突窅窘窩窶竇
117,立,lì,"stehen, aufrichten",101,,立音産翌意新端親競
118,竹 (⺮ oben),zhú,Bambus,953,,竺笑第等簡
119,米,mǐ,Reis,318,,料断奥糊麟
120,糸 (糹),mì,Seide,823,纟[2],系級紙素細組終絵紫
121,缶,fǒu,"Krug, Amphore",77,,缶缸窑陶
122,"网 (罒, 罓, ⺳)",wǎng,Netz,163,,買罪置羅
123,羊,yáng,"Schaf, Ziege; 8. Erdzweig",156,,着羚翔着
124,羽,yǔ,Vogelfeder,220,,習翀翁翔
125,"老 (耂, 考)",lǎo,alt,22,,耆孝耋
126,而,ér,"und dabei, und, aber",22,,耎耐耑
127,耒,lěi,"Pflug, Egge",84,,耔耝耨耰
128,耳,ěr,Ohr,172,,取聞職叢
129,聿,yù,Schreibpinsel,19,,律書建
130,肉 (月 links),ròu,Fleisch,674,,肉肖股胃腅脤
131,臣,chén,"Diener, Minister, Untertan, Beamter",16,,臥宦蔵
132,自,zì,selbst,34,,自臫臬臲
133,至,zhì,"ankommen, erreichen",24,,致臸臺
134,臼,jiù,Mörser,71,,桕舅舂鼠插
135,舌,shé,Zunge,31,,乱适話舍
136,舛,chuǎn,"gegensätzlich, irren, nebeneinander liegen",10,,舛舜舞
137,舟,zhōu,"Schiff, Boot, Kahn",197,,航船艦
138,艮,gèn,Grenze,5,,良艱
139,色,sè,"Farbe, weibliche Schönheit",21,,色艴艷
140,艸 (艹 oben),cǎo,Gras,1.902,,共花英苦草茶落幕靴鞄薬
141,虍,hū,Tiger,114,,虎虐彪虒
142,虫,hǔi,"Wurm, Insekt",1.067,,蚯蚓強触蟻蟹
143,血,xuè,Blut,60,,洫衁衅衆
144,行,xíng,"gehen, machen, tun",53,,行衍術衝
145,衣 (衤 links),yī,Kleidung,607,,衣初被装裁複
146,襾 (西 覀),yà (xī),bedecken (Westen),29,,西要覊
147,.mw-parser-output .Hant{font-size:110%}見,jiàn,sehen,161,见[2],規親覺觀
148,角,jiǎo,"Horn, Ecke",158,,觚解觕觥觸
149,言 (訁 links),yán,"sprechen, Wort",861,讠[2]links,誁詋詔評詗詥試詧
150,谷,gǔ,"Tal, Schlucht; Getreide",54,,谿豀谸
151,豆,dòu,"antikes Ess-/Opfergefäß mit hohem runden Fuß, Bohne",68,,豈豐豎
152,豕,shǐ,Schwein,148,,豖豚象
153,豸,zhì,"Reptil, Katze, kleines haariges Tier",140,,豹貌貓貈貉
154,貝,bèi,"Muschel- oder Schneckengeld, Kauri",277,贝[2],財賊賜贛貧貨貫貿
155,赤,chì,"zinnoberrot, nackt",31,,赫赭
156,走 (赱),zǒu,"laufen, fortgehen",285,,赴起超
157,足 (⻊ links),zú,Fuß,580,,跑跨跟跪路
158,身,shēn,"Körper, Rumpf",97,,躬躲軀
159,車,chē,"Wagen, Rad, Fahrzeug",361,车[2],軌軟較軍載
160,辛,xīn,"bitter, scharf, beißend, hart, mühsam",36,,辜辟辣辦辨
161,辰,chén,"7–9 Uhr vormittags, Morgen, 5. Erdzweig",15,,辱農
162,辵 (辶 辶 links),chuò,vorwärts gehen,381,,巡迎通追逃辶迎進
163,邑 (⻏ rechts),yì,"Gemeinde, Dorf",350,,那邦郎部郭都鄉
164,酉,yǒu,"Weinkrug, Alkohol",290,,醉酱油醒酸
165,釆,biàn,"trennen, unterscheiden, auswählen",14,,釉釋
166,里,lǐ,"Meile, Dorf, Maßeinheit 0,5 km",14,,野野
167,金 (釒links),jīn,"Metall, Gold",806,钅[2],銀銅釘銳鋞鋙鉒鉍鉗鈡鈠
168,長 (镸),cháng,"lang, älter, wachsen",55,长[2],镸镽
169,門,mén,"Tor, Tür",246,门[2],間閑關闘閉開閏間關
170,阜 (阝 links),fù,"Hügel, Damm",348,,阪防阻陆陘院险陳
171,隶,lì,"fangen, untergeordnet sein",12,,隸隺
172,隹,zhuī,kleiner Vogel,233,,雀集雁难雀雅
173,雨 (⻗ oben),yǔ,Regen,298,,雾霜雪霸雪雲霧
174,靑 (青),qīng,"blaugrün, jung",17,,靕靖靜
175,非,fēi,"falsch, nicht, Fehler",25,,靠靠靟
176,面 (靣),miàn,Gesicht,66,,靦靨
177,革,gé,"ungegerbtes Leder, Haut, verändern",305,,靴鞍鞅鞍鞭
178,韋,wéi,gegerbtes Leder,100,韦[2],韋韓韜
179,韭,jiǔ,Lauch,20,,韱韲
180,音,yīn,"Laut, Ton",43,,韶韻韾
181,頁,yè,Kopf,372,页[2],頃項順須領頭頩頂
182,風,fēng,Wind,182,风[2],颱飄颿颩颪
183,飛,fēi,fliegen,92,飞[2],飜飝
184,食 (飠 links),shí,"Essen, Futter",403,饣[2],飯飲餓餘餐養
185,首,shǒu,"Kopf, Haupt",20,,馗馘
186,香,xiāng,Duft,37,,馨馫
187,馬,mǎ,Pferd; 7. Erdzweig,472,马[2],馮馴馳駐驚
188,骨,gǔ,Knochen,185,,骼髒髀骿骾
189,高 (髙),gāo,hoch,34,,髚髛
190,髟,biāo,lange Haare,243,,髮鬚鬆鬍髦
191,鬥,dòu,kämpfen,23,[斗],鬧鬪
192,鬯,chàng,duftende Kräuter,8,,鬰鬱
193,鬲,lì,Dreifuß,73,,鬶鬷鬸
194,鬼,guǐ,"Gespenst, Dämon",141,,魂魁鬽魄
195,魚,yú,Fisch,571,鱼[2],鯉鮑魛魜魝魞魟魠
196,鳥,niǎo,Vogel,750,鸟[2],鳫鳮鳱鳳鳴鳿鳴鴻鴛
197,鹵,lǔ,"Salz, Lauge",44,卤,鹹鹼鹽
198,鹿,lù,"Hirsch, Reh",104,,塵麃麋麉麟
199,麥,mài,"Weizen, Gerste",131,麦,麴麵麱麨麺
200,麻,má,"Hanf, Flachs, Jute",34,,麼魔
201,黃,huáng,gelb,42,黄,黊黌
202,黍,shǔ,Hirse,46,,黏黎
203,黑,hēi,schwarz,172,黒,點黛黱黨
204,黹,zhǐ,"sticken, Näharbeit",8,,黼黻
205,黽 (黾),mǐn,"Frosch, Amphibie",40,黾,鼈黿鼆
206,鼎,dǐng,"dreibeiniger Kessel, Dreifuß",14,,鼏鼒
207,鼓 (鼔),gǔ,Trommel,46,,鼗鼘
208,鼠,shǔ,"Ratte, Maus; 1. Erdzweig",92,鼡,鼢鼣鼤
209,鼻,bí,Nase,49,,鼼鼽鼿
210,齊,qí,"gleich, ordnen, gleichmäßig",18,斉 齐[2],齋齏齏
211,齒,chǐ,"Backenzahn, Zahn",162,歯 齿[2],齡齠齗
212,龍,lóng,Drache,14,竜 龙[2],龖龘
213,龜,guī,Schildkröte,24,亀 龟[2],龝
214,龠,yuè,Flöte,19,,龣龤
